Hip	Const-abbreviations	Const-names	ProperName	B-F-ID	F-ID	B-ID	RA	Dec	Distance	Mag	AbsMag	Spectrum	ColorIndex
53910	UMa	Ursa Major	Merak	48Bet	48 UMa	β UMa	11.0306641	56.38234478	24.348673	2.34	0.4076235143	A1V	0.033
72105	Boo	Boötes	Izar	36Eps	36 Boo	ε Boo	14.74979191	27.07417383	64.30868167	2.35	-1.691348033	A0	0.966
107315	Peg	Pegasus	Enif	8Eps	8 Peg	ε Peg	21.73642787	9.87500791	206.185567	2.38	-4.191291307	K2Ibvar	1.52
86670	Sco	Scorpius		Kap		κ Sco	17.70813327	-39.02992092	142.2475107	2.39	-3.375223375	B1.5III	-0.171
2081	Phe	Phoenix	Ankaa	Alp		α Phe	0.43801871	-42.30512197	23.7304224	2.4	0.5234726564	K0III...	1.083
58001	UMa	Ursa Major	Phad	64Gam	64 UMa	γ UMa	11.89715035	53.69473296	25.64760195	2.41	0.3647661759	A0V SB	0.044
84012	Oph	Ophiuchus		35Eta	35 Oph	η Oph	17.17296177	-15.72514757	25.79313903	2.43	0.372479005	A2.5Va	0.059
113881	Peg	Pegasus	Scheat	53Bet	53 Peg	β Peg	23.06287038	28.08245462	61.08735492	2.44	-1.489756603	M2II-IIIvar	1.655
105199	Cep	Cepheus	Alderamin	5Alp	5 Cep	α Cep	21.30960598	62.58545529	14.96110114	2.45	1.575182206	A7IV-V	0.257
35904	CMa	Canis Major		31Eta	31 CMa	η CMa	7.40158473	-29.30311979	980.3921569	2.45	-7.506999141	B5Ia	-0.083
45941	Vel	Vela		Kap		κ Vel	9.36856367	-55.01069531	165.2892562	2.47	-3.621223127	B2IV	-0.141
102488	Cyg	Cygnus		53Eps	53 Cyg	ε Cyg	20.77012006	33.96945334	22.09456474	2.48	0.7585727481	K0III	1.021
113963	Peg	Pegasus	Markab	54Alp	54 Peg	α Peg	23.07933801	15.20536786	42.80821918	2.49	-0.6676358078	B9.5III	-0.002
81377	Oph	Ophiuchus		13Zet	13 Oph	ζ Oph	16.61931389	-10.5671518	140.4494382	2.54	-3.197600032	O9.5V	0.038
14135	Cet	Cetus	Menkar	92Alp	92 Cet	α Cet	3.03799418	4.08992539	67.47638327	2.54	-1.605758982	M2III	1.63
68002	Cen	Centaurus		Zet		ζ Cen	13.92567635	-47.28826634	117.9245283	2.55	-2.808020739	B2.5IV	-0.176
78820	Sco	Scorpius		8Bet1	8 Sco	β1 Sco	16.0906208	-19.80539286	162.601626	2.56	-3.495624421	B0.5V	-0.065
54872	Leo	Leo		68Del	68 Leo	δ Leo	11.23511447	20.52403384	17.69285209	2.56	1.321010766	A4V	0.128
59196	Cen	Centaurus		Del		δ Cen	12.13931767	-50.72240999	121.2121212	2.58	-2.837730257	B2IVne	-0.128
59803	Crv	Corvus		4Gam	4 Crv	γ Crv	12.26346329	-17.5419837	50.55611729	2.58	-0.9388685637	B8III	-0.107
25985	Lep	Lepus	Arneb	11Alp	11 Lep	α Lep	5.54550386	-17.82229227	393.7007874	2.58	-5.395831417	F0Ib	0.211
93506	Sgr	Sagittarius		38Zet	38 Sgr	ζ Sgr	19.04353428	-29.88011429	27.31494127	2.6	0.4179986444	A3IV	0.062
74785	Lib	Libra		27Bet	27 Lib	β Lib	15.28346439	-9.38286694	49.06771344	2.61	-0.8439791016	B8V	-0.071
77070	Ser	Serpens	Unukalhai	24Alp	24 Ser	α Ser	15.7377766	6.42551971	22.45172878	2.63	0.8737510635	K2III	1.167
8903	Ari	Aries		6Bet	6 Ari	β Ari	1.91065251	20.80829949	18.26817684	2.64	1.331523965	A5V...	0.165
26634	Col	Columba		Alp		α Col	5.66081665	-34.07404941	82.23684211	2.65	-1.925332125	B7IV	-0.12
61359	Crv	Corvus		9Bet	9 Crv	β Crv	12.57312057	-23.39662306	42.84490146	2.65	-0.5094957415	G5II	0.893
28380	Aur	Auriga		37The	37 Aur	θ Aur	5.99534393	37.21276409	53.10674456	2.65	-0.9757483999	A0p Si	-0.083
6686	Cas	Cassiopeia		37Del	37 Cas	δ Cas	1.43016751	60.23540347	30.47851265	2.66	0.2400311519	A5Vv SB	0.16
